NUISANCE_PARAMETERS
HTX_BKGNORM_TTBARBB  0.901827 +0.233798 -0.233798
HTX_BKGNP_VJETSCC_XS_0l_0T1H  -0.00266888 +0.986742 -0.986742
HTX_BKGNP_VJETSCC_XS_0l_0T2H  0.00249154 +0.992985 -0.992985
HTX_BKGNP_VJETSCC_XS_0l_1T0H  -0.114177 +1.00127 -1.00127
HTX_BKGNP_VJETSCC_XS_0l_1T1H  0.0173567 +0.990922 -0.990922
HTX_BKGNP_VJETSCC_XS_0l_2T0_1H  -0.00253459 +0.99354 -0.99354
HTX_BKGNP_VJETSCC_XS_0l_2TH  -0.0057374 +0.990481 -0.990481
HTX_BKGNP_VJETSCC_XS_1l_0T0H  -0.0411719 +0.998225 -0.998225
HTX_BKGNP_VJETSCC_XS_1l_0T1H  -0.0437271 +0.998853 -0.998853
HTX_BKGNP_VJETSCC_XS_1l_0T2H  0.000202041 +0.9933 -0.9933
HTX_BKGNP_VJETSCC_XS_1l_1T0H  -0.0300783 +0.996996 -0.996996
HTX_BKGNP_VJETSCC_XS_1l_1T1H  0.00963093 +0.991925 -0.991925
HTX_BKGNP_VJETSCC_XS_1l_2T0_1H  -0.013772 +0.994999 -0.994999
HTX_BKGNP_VJETS_XS_0l_0T0H  -0.133243 +0.793412 -0.793412
HTX_BKGNP_VJETS_XS_0l_0T1H  0.157428 +0.829995 -0.829995
HTX_BKGNP_VJETS_XS_0l_0T2H  0.0232851 +0.987297 -0.987297
HTX_BKGNP_VJETS_XS_0l_1T0H  -0.487 +0.860641 -0.860641
HTX_BKGNP_VJETS_XS_0l_1T1H  0.154304 +0.964233 -0.964233
HTX_BKGNP_VJETS_XS_0l_2T0_1H  -0.0271387 +0.988312 -0.988312
HTX_BKGNP_VJETS_XS_0l_2TH  0.235319 +0.877923 -0.877923
HTX_BKGNP_VJETS_XS_1l_0T0H  -0.272301 +0.970079 -0.970079
HTX_BKGNP_VJETS_XS_1l_0T1H  -0.422532 +0.961312 -0.961312
HTX_BKGNP_VJETS_XS_1l_0T2H  0.0178816 +0.982632 -0.982632
HTX_BKGNP_VJETS_XS_1l_1T0H  -0.093292 +0.97372 -0.97372
HTX_BKGNP_VJETS_XS_1l_1T1H  0.079751 +0.972354 -0.972354
HTX_BKGNP_VJETS_XS_1l_2T0_1H  -0.0349573 +0.989622 -0.989622
HTX_JET_JMR__1up  0.658425 +0.992582 -0.992582
HTX_MET_TRIGGER_0L  0.411458 +0.950179 -0.950179
HTX_TTBARCC_PS  0.119963 +0.854886 -0.854886
JET_EffectiveNP_1  0.0882202 +0.959632 -0.959632
JET_EffectiveNP_2  -0.665821 +0.949814 -0.949814
JET_EffectiveNP_3  0.131674 +0.988839 -0.988839
JET_EffectiveNP_4  -0.0052895 +0.992194 -0.992194
JET_EffectiveNP_5  0.0131091 +0.9932 -0.9932
JET_EffectiveNP_6  0.018401 +0.992719 -0.992719
JET_EffectiveNP_7  -0.0183425 +0.992656 -0.992656
JET_EffectiveNP_8restTerm  -0.0232208 +0.992257 -0.992257
JET_EtaIntercalibration_Modelling  -0.112718 +0.994034 -0.994034
JET_EtaIntercalibration_NonClosure  0.166275 +0.989178 -0.989178
JET_EtaIntercalibration_TotalStat  -0.0760706 +0.986671 -0.986671
JET_Flavor_Composition  0.434283 +0.793687 -0.793687
JET_Flavor_Response  -0.097395 +0.984266 -0.984266
JET_JER_SINGLE_NP  -0.565004 +0.634352 -0.634352
JET_JvtEfficiency  0.0166386 +0.993056 -0.993056
JET_Pileup_OffsetMu  -0.0355836 +0.989781 -0.989781
JET_Pileup_OffsetNPV  0.232253 +0.978467 -0.978467
JET_Pileup_PtTerm  0.0446709 +0.985695 -0.985695
JET_Pileup_RhoTopology  0.329346 +0.912533 -0.912533
JET_PunchThrough_MC15  -0.0162979 +0.99357 -0.99357
JET_Rrk_Tracking_mass  0.0082941 +0.991215 -0.991215
JET_Rtrk_Baseline_mass  0.0240195 +0.989863 -0.989863
JET_Rtrk_Modelling_mass  0.1333 +0.981548 -0.981548
JET_Rtrk_TotalStat_mass  0.0166702 +0.992726 -0.992726
JET_SingleParticle_HighPt  -0.00523083 +0.993307 -0.993307
Luminosity  0.0843573 +0.983728 -0.983728
MET_SoftTrk_ResoPara  -0.0327186 +0.972431 -0.972431
MET_SoftTrk_ResoPerp  -0.069172 +0.910481 -0.910481
MET_SoftTrk_Scale  0.200028 +0.988502 -0.988502
MUON_EFF_SYS  -0.000592258 +0.993352 -0.993352
MUON_EFF_TrigStatUncertainty  0.000287593 +0.993345 -0.993345
MUON_ID  -8.19096e-06 +0.993347 -0.993347
MUON_MS  0.000811627 +0.993415 -0.993415
PRW_DATASF  0.124419 +0.881722 -0.881722
gamma_stat_HTX_c0lep0Tex0Hex7jin2bexHighMtbmin_bin_2  1.02435 +0.0560117 -0.0560117
gamma_stat_HTX_c0lep0Tex0Hex7jin3bexHighMtbmin_bin_1  1.01078 +0.0761958 -0.0761958
gamma_stat_HTX_c0lep0Tex0Hex7jin3bexHighMtbmin_bin_2  0.994726 +0.0719908 -0.0719908
gamma_stat_HTX_c0lep0Tex0Hex7jin3bexHighMtbmin_bin_3  1.00802 +0.0763782 -0.0763782
gamma_stat_HTX_c0lep0Tex0Hex7jin3bexLowMtbmin_bin_4  0.981036 +0.108548 -0.108548
gamma_stat_HTX_c0lep0Tex0Hex7jin4binHighMtbmin_bin_0  0.997883 +0.0782298 -0.0782298
gamma_stat_HTX_c0lep0Tex0Hex7jin4binHighMtbmin_bin_1  0.987682 +0.0961653 -0.0961653
gamma_stat_HTX_c0lep0Tex0Hex7jin4binHighMtbmin_bin_2  1.00244 +0.106334 -0.106334
gamma_stat_HTX_c0lep0Tex0Hex7jin4binLowMtbmin_bin_2  1.00367 +0.0595145 -0.0595145
gamma_stat_HTX_c0lep0Tex0Hex7jin4binLowMtbmin_bin_3  0.983766 +0.0785285 -0.0785285
gamma_stat_HTX_c0lep0Tex1Hex7jin2bexHighMtbmin_bin_1  0.990927 +0.0508811 -0.0508811
gamma_stat_HTX_c0lep0Tex1Hex7jin2bexHighMtbmin_bin_2  0.998854 +0.0665764 -0.0665764
gamma_stat_HTX_c0lep0Tex1Hex7jin2bexHighMtbmin_bin_3  1.01299 +0.0695024 -0.0695024
gamma_stat_HTX_c0lep0Tex1Hex7jin2bexHighMtbmin_bin_4  0.956155 +0.146331 -0.146331
gamma_stat_HTX_c0lep0Tex1Hex7jin3bexHighMtbmin_bin_0  1.01091 +0.0844259 -0.0844259
gamma_stat_HTX_c0lep0Tex1Hex7jin3bexHighMtbmin_bin_1  0.997052 +0.0907523 -0.0907523
gamma_stat_HTX_c0lep0Tex1Hex7jin3bexHighMtbmin_bin_2  1.00935 +0.0700814 -0.0700814
gamma_stat_HTX_c0lep0Tex1Hex7jin3bexLowMtbmin_bin_2  0.99383 +0.049204 -0.049204
gamma_stat_HTX_c0lep0Tex1Hex7jin3bexLowMtbmin_bin_3  0.999589 +0.0531641 -0.0531641
gamma_stat_HTX_c0lep0Tex1Hex7jin4binHighMtbmin_bin_0  1.00685 +0.0719218 -0.0719218
gamma_stat_HTX_c0lep0Tex1Hex7jin4binLowMtbmin_bin_0  0.99963 +0.0854022 -0.0854022
gamma_stat_HTX_c0lep0Tex1Hex7jin4binLowMtbmin_bin_1  0.997105 +0.06732 -0.06732
gamma_stat_HTX_c0lep0Tex1Hex7jin4binLowMtbmin_bin_2  1.02716 +0.113031 -0.113031
gamma_stat_HTX_c0lep0Tex1Hex7jin4binLowMtbmin_bin_3  0.998544 +0.110988 -0.110988
gamma_stat_HTX_c0lep0Tin2Hin7jin3bex_bin_0  1.00895 +0.0845267 -0.0845267
gamma_stat_HTX_c0lep0Tin2Hin7jin3bex_bin_1  0.995992 +0.0785854 -0.0785854
gamma_stat_HTX_c0lep1Tex0Hex7jin2bexHighMtbmin_bin_4  1.00233 +0.0871051 -0.0871051
gamma_stat_HTX_c0lep1Tex0Hex7jin3bexHighMtbmin_bin_0  0.976293 +0.0998136 -0.0998136
gamma_stat_HTX_c0lep1Tex0Hex7jin3bexHighMtbmin_bin_2  1.0167 +0.0908877 -0.0908877
gamma_stat_HTX_c0lep1Tex0Hex7jin3bexHighMtbmin_bin_3  0.991907 +0.0687813 -0.0687813
gamma_stat_HTX_c0lep1Tex0Hex7jin3bexHighMtbmin_bin_4  1.01399 +0.177752 -0.177752
gamma_stat_HTX_c0lep1Tex0Hex7jin4binHighMtbmin_bin_0  0.989341 +0.0719371 -0.0719371
gamma_stat_HTX_c0lep1Tex0Hex7jin4binHighMtbmin_bin_1  0.996988 +0.0567361 -0.0567361
gamma_stat_HTX_c0lep1Tex0Hex7jin4binHighMtbmin_bin_2  0.996051 +0.0754654 -0.0754654
gamma_stat_HTX_c0lep1Tex0Hex7jin4binLowMtbmin_bin_2  0.994416 +0.0526354 -0.0526354
gamma_stat_HTX_c0lep1Tex0Hex7jin4binLowMtbmin_bin_3  0.990554 +0.0682557 -0.0682557
gamma_stat_HTX_c0lep1Tex0Hex7jin4binLowMtbmin_bin_4  1.00121 +0.102993 -0.102993
gamma_stat_HTX_c0lep1Tex1Hex7jin3bexHighMtbmin_bin_0  1.01096 +0.0837793 -0.0837793
gamma_stat_HTX_c0lep1Tex1Hex7jin3bexHighMtbmin_bin_1  0.998256 +0.0865963 -0.0865963
gamma_stat_HTX_c0lep1Tex1Hex7jin3bexLowMtbmin_bin_0  0.989065 +0.0747911 -0.0747911
gamma_stat_HTX_c0lep1Tex1Hex7jin3bexLowMtbmin_bin_1  1.00614 +0.0586748 -0.0586748
gamma_stat_HTX_c0lep1Tex1Hex7jin3bexLowMtbmin_bin_2  1.00333 +0.062789 -0.062789
gamma_stat_HTX_c0lep1Tex1Hex7jin3bexLowMtbmin_bin_3  1.00778 +0.0519354 -0.0519354
gamma_stat_HTX_c0lep1Tex1Hex7jin3bexLowMtbmin_bin_4  1.01169 +0.0766356 -0.0766356
gamma_stat_HTX_c0lep2THin7jin2bexHighMtbmin_bin_1  1.01106 +0.0571637 -0.0571637
gamma_stat_HTX_c0lep2THin7jin2bexHighMtbmin_bin_2  0.978098 +0.051992 -0.051992
gamma_stat_HTX_c0lep2THin7jin4bin_bin_0  0.988344 +0.0543605 -0.0543605
gamma_stat_HTX_c0lep2THin7jin4bin_bin_1  1.00278 +0.0682939 -0.0682939
gamma_stat_HTX_c0lep2THin7jin4bin_bin_2  1.0126 +0.05993 -0.05993
gamma_stat_HTX_c0lep2Tin0_1Hwin7jin3bexHighMtbmin_bin_0  0.989382 +0.0795769 -0.0795769
gamma_stat_HTX_c0lep2Tin0_1Hwin7jin3bexHighMtbmin_bin_1  1.00554 +0.0800387 -0.0800387
gamma_stat_HTX_c0lep2Tin0_1Hwin7jin3bexLowMtbmin_bin_0  0.997741 +0.0508429 -0.0508429
gamma_stat_HTX_c0lep2Tin0_1Hwin7jin3bexLowMtbmin_bin_2  0.995597 +0.0539599 -0.0539599
gamma_stat_HTX_c1lep0Tex0Hex6jin3bex_bin_5  0.998173 +0.0596801 -0.0596801
gamma_stat_HTX_c1lep0Tex0Hex6jin4bin_bin_1  1.00775 +0.0463934 -0.0463934
gamma_stat_HTX_c1lep0Tex0Hex6jin4bin_bin_2  1.01472 +0.0772652 -0.0772652
gamma_stat_HTX_c1lep0Tex0Hex6jin4bin_bin_4  0.989402 +0.0624883 -0.0624883
gamma_stat_HTX_c1lep0Tex1Hex6jin3bex_bin_2  1.01928 +0.0520423 -0.0520423
gamma_stat_HTX_c1lep0Tex1Hex6jin3bex_bin_4  0.990596 +0.0528155 -0.0528155
gamma_stat_HTX_c1lep0Tex1Hex6jin3bex_bin_5  1.00298 +0.0835229 -0.0835229
gamma_stat_HTX_c1lep0Tex1Hex6jin4bin_bin_0  0.96423 +0.0673379 -0.0673379
gamma_stat_HTX_c1lep0Tex1Hex6jin4bin_bin_1  0.988044 +0.0674041 -0.0674041
gamma_stat_HTX_c1lep0Tex1Hex6jin4bin_bin_3  0.985485 +0.0851228 -0.0851228
gamma_stat_HTX_c1lep0Tin2Hin6jin3bex_bin_2  0.996622 +0.050979 -0.050979
gamma_stat_HTX_c1lep0Tin2Hin6jin4bin_bin_1  0.977465 +0.0953694 -0.0953694
gamma_stat_HTX_c1lep0Tin2Hin6jin4bin_bin_2  0.993076 +0.0925171 -0.0925171
gamma_stat_HTX_c1lep1Tex0Hex6jin4bin_bin_5  0.998905 +0.0507583 -0.0507583
gamma_stat_HTX_c1lep1Tex1Hex6jin4bin_bin_2  0.987344 +0.0590016 -0.0590016
gamma_stat_HTX_c1lep2Tin0_1Hwin6jin3bex_bin_5  0.99206 +0.0526003 -0.0526003
gamma_stat_HTX_c1lep2Tin0_1Hwin6jin4bin_bin_3  0.997711 +0.053538 -0.053538


CORRELATION_MATRIX
277   277
